season,episode,speaker,role,utterance_count
2,24,GIRLS,,1
2,24,HOLLY,mom,3
2,24,JILL,mom,13
2,24,KAYA,,1
2,24,KELLY,mom,13
2,24,KLLY,,1
2,24,LESLEY,mom,9
2,24,MADDIE,dancer,2
2,24,MELISSA,mom,4
2,24,PAYTON,dancer,1
2,24,SINGER,announcer,11
2,24,WOMAN,other,1
2,25,ABBY,instructor,41
2,25,ANNOUNCER,announcer,9
2,25,BROOKE,dancer,1
2,25,CHLOE,dancer,2
2,25,CHRISTI,mom,10
2,25,GIANNA,assistant,1
2,25,GIRLS,,2
2,25,HOLLY,mom,9
2,25,JILL,mom,7
2,25,KAYA,,15
2,25,KELLY,mom,17
2,25,MACKENZIE,dancer,1
2,25,MADDIE,dancer,1
2,25,MELISSA,mom,7
2,25,NIA,dancer,1
2,25,NICAYA,,2
2,25,PAIGE,dancer,3
2,25,SINGER,announcer,8
2,26,ABBY,instructor,26
2,26,ANNOUNCER,announcer,11
2,26,BROOKE,dancer,1
2,26,CHLOE,dancer,3
2,26,CHRISTI,mom,2
2,26,JEN,,1
2,26,JILL,mom,2
2,26,KELLY,mom,7
2,26,KENDALL,dancer,1
2,26,MACKENZIE,dancer,3
2,26,MADDIE,dancer,1
2,26,MELISSA,mom,4
2,26,NIA,dancer,1
2,26,PAIGE,dancer,2
2,26,SINGER,announcer,11
2,27,ABBY,instructor,40
2,27,ALL,,2
2,27,ANNOUNCER,announcer,19
2,27,CATHY,coach,13
2,27,CHLOE,dancer,3
2,27,CHRISTI,mom,17
2,27,GIRLS,,1
2,27,HOLLY,mom,8
2,27,JILL,mom,10
2,27,KELLY,mom,7
2,27,MACKENZIE,dancer,2
2,27,MADDIE,dancer,2
2,27,MAN,,2
2,27,MELISSA,mom,3
2,27,SINGER,announcer,13
2,28,ABBY,instructor,30
2,28,ALL,,2
2,28,CATHY,coach,5
2,28,CHLOE,dancer,1
2,28,CHRISTI,mom,19
2,28,HOLLY,mom,17
2,28,JEFF,staff,47
2,28,JILL,mom,4
2,28,KAYA,,1
2,28,KELLY,mom,17
2,28,MELISSA,mom,9
2,28,SINGER,announcer,7
2,28,WOMAN,other,6
2,29,ABBY,instructor,2
2,29,ANNOUNCER,announcer,1
2,29,CATHY,coach,9
2,29,CHRISTI,mom,5
2,29,GIRLS,,2
2,29,JEFF,staff,30
2,29,JILL,mom,1
2,29,KAYA,,3
2,29,KELLY,mom,5
2,29,MADDIE,dancer,1
2,29,MELISSA,mom,2
2,29,NIA,dancer,1
2,29,SINGER,announcer,8
2,29,WOMAN,other,1
3,1,ABBY,instructor,59
3,1,ALLY,,1
3,1,ANNOUNCER,announcer,13
3,1,BROOKE,dancer,1
3,1,CATHY,coach,1
3,1,CHLOE,dancer,3
3,1,CHRISTI,mom,21
3,1,GIANNA,assistant,3
3,1,GIRLS,,1
3,1,HOLLY,mom,22
3,1,JILL,mom,23
3,1,KELLY,mom,2
3,1,LESLEY,mom,2
3,1,MACKENZIE,dancer,3
3,1,MADDIE,dancer,2
3,1,MELISSA,mom,23
3,1,OK. - HOLLY,,1
3,1,PAIGE,dancer,1
3,1,SHELLY,,4
3,1,THEME SONG,,1
3,1,WOMAN,other,1
3,2,ABBY,instructor,4
3,2,AUDIENCE MEMBER,,1
3,2,CHRISTI,mom,1
3,2,HOLLY,mom,2
3,2,JEFF,staff,20
3,2,JILL,mom,2
3,2,KELLY,mom,1
3,3,ABBY,instructor,34
3,3,CHRISTI,mom,10
3,3,GLORIA,,5
3,3,HOLLY,mom,10
3,3,JACKIE,,2
3,3,JILL,mom,3
3,3,KELLY,mom,3
3,3,MARCIA,,8
3,3,MELISSA,mom,1
3,3,MOMS,,1
3,3,PA,,12
3,3,PHONE OPERATOR,,3
3,3,SHELLY,,2
3,3,SONG,,1
3,3,WOMAN,other,4
3,3,YVETTE,,5
3,4,ABBY,instructor,22
3,4,ANNOUNCER,announcer,10
3,4,CHLOE,dancer,3
3,4,CHRISTI,mom,17
3,4,HOLLY,mom,6
3,4,JILL,mom,4
3,4,KELLY,mom,15
3,4,MADDIE,dancer,1
3,4,MELISSA,mom,5
3,4,SOPHIA,,1
3,5,ABBY,instructor,21
3,5,ANNOUNCER,announcer,8
3,5,BROOKE,dancer,1
3,5,CHRISTI,mom,1
3,5,JILL,mom,2
3,5,KELLY,mom,8
3,5,KENDALL,dancer,1
3,5,MADDIE,dancer,1
3,5,WOMAN,other,1
3,5,WOMAN 1,,1
3,6,ABBY,instructor,43
3,6,ANNOUNCER,announcer,9
3,6,CATHY,coach,1
3,6,CHRISTI,mom,17
3,6,GIANNA,assistant,3
3,6,GLORIA,,1
3,6,HOLLY,mom,4
3,6,JILL,mom,9
3,6,KELLY,mom,4
3,6,MADDIE,dancer,2
3,6,MELISSA,mom,16
3,7,ABBY,instructor,17
3,7,ANNOUNCER,announcer,9
3,7,CATHY,coach,3
3,7,CHRISTI,mom,13
3,7,HOLLY,mom,2
3,7,JILL,mom,12
3,7,KELLY,mom,6
3,7,MELISSA,mom,11
3,7,NICK,,1
3,8,ABBY,instructor,12
3,8,ALL,,4
3,8,ANNOUNCER,announcer,7
3,8,BOYS,,1
3,8,CATHY,coach,9
3,8,CHILDREN,,1
3,8,DOCTOR,,1
3,8,HOLLY,mom,4
3,8,JILL,mom,5
3,8,KELLY,mom,3
3,8,MELISSA,mom,1
3,8,RICK,,1
3,8,SONG,,2
